Row Labels,Under $50K,$50K to $100K,$100K to $150K,$150K to $200K,$200K to $250K,$250K to $300K,$300K to $350K,$350K to $400K,$400K to $450K,$450K to $500K,Over $500K,Total
42003521302,3,10,15,12,5,2,1,0,0,0,0,48
42003521401,0,0,0,17,6,2,2,1,1,0,0,29
42003521402,0,0,4,7,20,19,3,2,1,2,3,61
42003521500,0,4,8,19,7,7,0,1,0,0,1,47
42003522000,17,17,2,1,0,0,0,0,0,0,0,37
42003523100,24,21,11,6,0,0,0,0,0,0,0,62
42003523200,16,20,17,16,1,0,0,0,0,0,0,70
42003523300,4,18,23,20,6,2,0,0,0,0,0,73
42003523400,4,24,36,15,1,0,0,0,0,0,0,80
42003523501,4,17,30,16,4,0,1,0,0,0,0,72
42003523502,8,8,10,3,1,0,0,0,0,0,0,30
42003523600,6,24,22,23,5,1,0,0,0,1,1,83
42003523701,4,14,15,16,5,2,0,0,0,0,0,56
42003523702,13,13,23,16,3,0,0,0,0,0,0,68
42003523800,7,12,19,38,5,1,1,0,0,0,0,83
42003524000,6,8,5,3,3,0,0,0,0,0,0,25
42003525100,1,6,3,11,5,6,2,2,0,1,0,37
42003525200,1,2,1,3,2,3,1,0,1,11,6,31
42003525300,1,0,1,9,0,2,1,0,1,3,5,23
42003526101,4,4,21,8,5,11,15,14,3,1,1,87
42003526102,3,0,6,2,1,3,2,3,0,0,0,20
42003526201,1,6,2,10,7,2,2,3,1,0,0,34
42003526202,2,2,7,19,13,5,4,1,2,0,1,56
42003526301,0,2,5,23,15,5,0,1,0,1,0,52
42003526302,1,3,0,12,13,5,0,0,0,0,0,34
42003550900,19,3,0,0,0,0,0,0,0,0,0,22
42003551200,11,13,4,0,0,0,0,0,0,0,0,28
42003551300,10,12,9,1,1,0,0,0,0,1,0,34
42003551900,2,0,0,0,0,0,0,0,0,0,0,2
42003552000,21,4,0,0,0,0,0,0,0,0,0,25
42003552100,1,0,0,0,0,0,0,0,0,0,0,1
42003552200,3,4,1,0,1,0,0,0,0,0,0,9
42003552300,24,0,0,0,0,0,0,0,0,0,0,24
42003552400,27,12,2,0,0,0,0,0,0,0,0,41
42003560400,1,0,0,1,0,0,0,0,0,0,0,2
42003560500,4,0,3,3,1,2,1,2,2,0,0,18
42003560600,5,1,0,0,0,0,0,0,0,0,0,6
42003561000,3,2,0,0,0,0,0,0,0,0,0,5
42003561100,2,1,0,0,0,0,0,0,0,0,0,3
42003561200,4,0,0,1,0,0,0,0,0,0,0,5
42003561400,22,12,12,7,2,1,1,0,0,0,0,57
42003561500,22,5,2,0,0,0,1,0,0,0,0,30
42003561600,13,11,0,0,0,0,0,0,0,0,0,24
42003561700,8,3,0,0,0,0,0,0,0,0,0,11
42003561900,10,2,0,0,0,0,0,0,0,0,0,12
42003562000,0,0,0,0,0,1,0,0,1,0,3,5
42003562300,12,9,5,0,2,0,0,0,0,0,0,28
42003562400,20,3,5,3,1,0,0,0,0,0,0,32
42003562500,15,16,4,2,0,0,0,0,0,0,0,37
42003562600,14,11,7,0,0,0,0,0,0,0,0,32
42003562700,0,0,0,0,0,1,1,0,0,0,3,5
42003562800,3,5,3,4,3,0,0,0,0,0,0,18
42003562900,9,6,3,4,3,2,1,0,0,0,0,28
42003563000,4,6,8,1,0,0,0,0,0,0,0,19
42003563100,5,6,10,11,7,2,2,0,0,0,0,43
42003563200,7,3,2,4,1,0,3,3,1,1,3,28
42003563300,0,0,0,1,0,0,0,0,1,0,6,8
42003563800,4,0,5,6,7,1,2,2,0,0,6,33
42003563900,8,15,13,15,4,1,0,0,0,0,0,56
42003564000,1,5,3,1,11,14,3,15,11,7,5,76
42003564100,0,0,0,2,0,1,1,0,0,1,2,7
42003564200,2,1,5,7,0,2,2,0,0,0,0,19
42003564400,12,22,21,11,2,2,0,0,0,0,0,70
42003564500,1,2,8,8,6,3,0,0,0,2,0,30
42003980500,0,1,0,0,0,0,0,0,0,0,0,1
42125746100,1,0,0,0,0,0,0,0,0,0,0,1
